INC-0001,00:05:24,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 97% confidence.
INC-0002,00:06:23,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 62% confidence.
INC-0003,00:09:55,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 87% confidence.
INC-0004,00:14:39,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 47% confidence.
INC-0005,08:51:51,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 53% confidence.
INC-0006,08:53:40,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 70% confidence.
INC-0007,08:53:42,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 42% confidence.
INC-0008,08:53:48,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 61% confidence.
INC-0009,08:54:35,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 76% confidence.
INC-0001,18:51:37,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 71% confidence.
INC-0002,18:51:49,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 50% confidence.
INC-0003,18:52:27,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 68% confidence.
INC-0004,18:54:13,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 56% confidence.
INC-0001,19:12:27,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 86% confidence.
INC-0002,19:12:59,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 46% confidence.
INC-0003,19:13:27,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 40% confidence.
INC-0004,19:13:43,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 55% confidence.
INC-0005,19:13:45,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 65% confidence.
INC-0006,19:13:49,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 54% confidence.
INC-0007,19:13:52,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 76% confidence.
INC-0008,19:14:03,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 63% confidence.
INC-0009,20:04:05,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 46% confidence.
INC-0010,20:04:14,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 63% confidence.
INC-0011,20:06:43,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 64% confidence.
INC-0012,20:06:45,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 53% confidence.
INC-0001,23:06:10,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 64% confidence.
INC-0002,23:08:14,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 53% confidence.
INC-0003,23:08:17,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 84% confidence.
INC-0004,23:08:42,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 53% confidence.
INC-0005,23:09:17,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 53% confidence.
INC-0001,00:18:34,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 47% confidence.
INC-0002,00:18:41,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 70% confidence.
INC-0003,00:18:54,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 44% confidence.
INC-0004,00:19:01,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 45% confidence.
INC-0005,00:19:16,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 82% confidence.
INC-0006,00:19:22,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 50% confidence.
INC-0007,00:19:25,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 51% confidence.
INC-0008,00:28:10,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 71% confidence.
INC-0001,14:12:51,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 48% confidence.
INC-0002,14:13:22,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 45% confidence.
INC-0003,14:14:07,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 66% confidence.
INC-0004,14:15:00,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 60% confidence.
